Samples	Sample_ID	Soil_Type	Time_Rate	Dose_Rate	Replicate	Dose
Fungi_MK_Microcosms_Metsulfuron_methyl_001	P_MM_C_A_T20	Pella	TR.20	DR.0	1	0
Fungi_MK_Microcosms_Metsulfuron_methyl_002	P_MM_C_B_T20	Pella	TR.20	DR.0	2	0
Fungi_MK_Microcosms_Metsulfuron_methyl_003	P_MM_C_C_T20	Pella	TR.20	DR.0	3	0
Fungi_MK_Microcosms_Metsulfuron_methyl_004	P_MM_0.01_A_T20	Pella	TR.20	DR.0.01	1	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_005	P_MM_0.01_B_T20	Pella	TR.20	DR.0.01	2	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_006	P_MM_0.01_C_T20	Pella	TR.20	DR.0.01	3	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_007	P_MM_0.1_A_T20	Pella	TR.20	DR.0.1	1	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_008	P_MM_0.1_B_T20	Pella	TR.20	DR.0.1	2	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_009	P_MM_0.1_C_T20	Pella	TR.20	DR.0.1	3	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_010	P_MM_1_A_T20	Pella	TR.20	DR.1	1	1
Fungi_MK_Microcosms_Metsulfuron_methyl_011	P_MM_1_B_T20	Pella	TR.20	DR.1	2	1
Fungi_MK_Microcosms_Metsulfuron_methyl_012	P_MM_1_C_T20	Pella	TR.20	DR.1	3	1
Fungi_MK_Microcosms_Metsulfuron_methyl_013	P_MM_10_A_T20	Pella	TR.20	DR.10	1	10
Fungi_MK_Microcosms_Metsulfuron_methyl_014	P_MM_10_B_T20	Pella	TR.20	DR.10	2	10
Fungi_MK_Microcosms_Metsulfuron_methyl_015	P_MM_10_C_T20	Pella	TR.20	DR.10	3	10
Fungi_MK_Microcosms_Metsulfuron_methyl_016	P_MM_50_A_T20	Pella	TR.20	DR.50	1	50
Fungi_MK_Microcosms_Metsulfuron_methyl_017	P_MM_50_B_T20	Pella	TR.20	DR.50	2	50
Fungi_MK_Microcosms_Metsulfuron_methyl_018	P_MM_50_C_T20	Pella	TR.20	DR.50	3	50
Fungi_MK_Microcosms_Metsulfuron_methyl_019	P_MM_C_A_T40	Pella	TR.40	DR.0	1	0
Fungi_MK_Microcosms_Metsulfuron_methyl_020	P_MM_C_B_T40	Pella	TR.40	DR.0	2	0
Fungi_MK_Microcosms_Metsulfuron_methyl_021	P_MM_C_C_T40	Pella	TR.40	DR.0	3	0
Fungi_MK_Microcosms_Metsulfuron_methyl_022	P_MM_0.01_A_T40	Pella	TR.40	DR.0.01	1	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_023	P_MM_0.01_B_T40	Pella	TR.40	DR.0.01	2	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_024	P_MM_0.01_C_T40	Pella	TR.40	DR.0.01	3	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_025	P_MM_0.1_A_T40	Pella	TR.40	DR.0.1	1	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_026	P_MM_0.1_B_T40	Pella	TR.40	DR.0.1	2	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_027	P_MM_0.1_C_T40	Pella	TR.40	DR.0.1	3	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_028	P_MM_1_A_T40	Pella	TR.40	DR.1	1	1
Fungi_MK_Microcosms_Metsulfuron_methyl_029	P_MM_1_B_T40	Pella	TR.40	DR.1	2	1
Fungi_MK_Microcosms_Metsulfuron_methyl_030	P_MM_1_C_T40	Pella	TR.40	DR.1	3	1
Fungi_MK_Microcosms_Metsulfuron_methyl_031	P_MM_10_A_T40	Pella	TR.40	DR.10	1	10
Fungi_MK_Microcosms_Metsulfuron_methyl_032	P_MM_10_B_T40	Pella	TR.40	DR.10	2	10
Fungi_MK_Microcosms_Metsulfuron_methyl_033	P_MM_10_C_T40	Pella	TR.40	DR.10	3	10
Fungi_MK_Microcosms_Metsulfuron_methyl_034	P_MM_50_A_T40	Pella	TR.40	DR.50	1	50
Fungi_MK_Microcosms_Metsulfuron_methyl_035	P_MM_50_B_T40	Pella	TR.40	DR.50	2	50
Fungi_MK_Microcosms_Metsulfuron_methyl_036	P_MM_50_C_T40	Pella	TR.40	DR.50	3	50
Fungi_MK_Microcosms_Metsulfuron_methyl_037	K_MM_C_A_T20	Koutsoura	TR.20	DR.0	1	0
Fungi_MK_Microcosms_Metsulfuron_methyl_038	K_MM_C_B_T20	Koutsoura	TR.20	DR.0	2	0
Fungi_MK_Microcosms_Metsulfuron_methyl_039	K_MM_C_C_T20	Koutsoura	TR.20	DR.0	3	0
Fungi_MK_Microcosms_Metsulfuron_methyl_040	K_MM_0.01_A_T20	Koutsoura	TR.20	DR.0.01	1	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_041	K_MM_0.01_B_T20	Koutsoura	TR.20	DR.0.01	2	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_042	K_MM_0.01_C_T20	Koutsoura	TR.20	DR.0.01	3	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_043	K_MM_0.1_A_T20	Koutsoura	TR.20	DR.0.1	1	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_044	K_MM_0.1_B_T20	Koutsoura	TR.20	DR.0.1	2	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_045	K_MM_0.1_C_T20	Koutsoura	TR.20	DR.0.1	3	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_046	K_MM_1_A_T20	Koutsoura	TR.20	DR.1	1	1
Fungi_MK_Microcosms_Metsulfuron_methyl_047	K_MM_1_B_T20	Koutsoura	TR.20	DR.1	2	1
Fungi_MK_Microcosms_Metsulfuron_methyl_048	K_MM_1_C_T20	Koutsoura	TR.20	DR.1	3	1
Fungi_MK_Microcosms_Metsulfuron_methyl_049	K_MM_10_A_T20	Koutsoura	TR.20	DR.10	1	10
Fungi_MK_Microcosms_Metsulfuron_methyl_050	K_MM_10_B_T20	Koutsoura	TR.20	DR.10	2	10
Fungi_MK_Microcosms_Metsulfuron_methyl_051	K_MM_10_C_T20	Koutsoura	TR.20	DR.10	3	10
Fungi_MK_Microcosms_Metsulfuron_methyl_052	K_MM_50_A_T20	Koutsoura	TR.20	DR.50	1	50
Fungi_MK_Microcosms_Metsulfuron_methyl_053	K_MM_50_B_T20	Koutsoura	TR.20	DR.50	2	50
Fungi_MK_Microcosms_Metsulfuron_methyl_054	K_MM_50_C_T20	Koutsoura	TR.20	DR.50	3	50
Fungi_MK_Microcosms_Metsulfuron_methyl_055	K_MM_C_A_T40	Koutsoura	TR.40	DR.0	1	0
Fungi_MK_Microcosms_Metsulfuron_methyl_056	K_MM_C_B_T40	Koutsoura	TR.40	DR.0	2	0
Fungi_MK_Microcosms_Metsulfuron_methyl_057	K_MM_C_C_T40	Koutsoura	TR.40	DR.0	3	0
Fungi_MK_Microcosms_Metsulfuron_methyl_058	K_MM_0.01_A_T40	Koutsoura	TR.40	DR.0.01	1	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_059	K_MM_0.01_B_T40	Koutsoura	TR.40	DR.0.01	2	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_060	K_MM_0.01_C_T40	Koutsoura	TR.40	DR.0.01	3	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_061	K_MM_0.1_A_T40	Koutsoura	TR.40	DR.0.1	1	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_062	K_MM_0.1_B_T40	Koutsoura	TR.40	DR.0.1	2	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_063	K_MM_0.1_C_T40	Koutsoura	TR.40	DR.0.1	3	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_064	K_MM_1_A_T40	Koutsoura	TR.40	DR.1	1	1
Fungi_MK_Microcosms_Metsulfuron_methyl_065	K_MM_1_B_T40	Koutsoura	TR.40	DR.1	2	1
Fungi_MK_Microcosms_Metsulfuron_methyl_066	K_MM_1_C_T40	Koutsoura	TR.40	DR.1	3	1
Fungi_MK_Microcosms_Metsulfuron_methyl_067	K_MM_10_A_T40	Koutsoura	TR.40	DR.10	1	10
Fungi_MK_Microcosms_Metsulfuron_methyl_068	K_MM_10_B_T40	Koutsoura	TR.40	DR.10	2	10
Fungi_MK_Microcosms_Metsulfuron_methyl_069	K_MM_10_C_T40	Koutsoura	TR.40	DR.10	3	10
Fungi_MK_Microcosms_Metsulfuron_methyl_070	K_MM_50_A_T40	Koutsoura	TR.40	DR.50	1	50
Fungi_MK_Microcosms_Metsulfuron_methyl_071	K_MM_50_B_T40	Koutsoura	TR.40	DR.50	2	50
Fungi_MK_Microcosms_Metsulfuron_methyl_072	K_MM_50_C_T40	Koutsoura	TR.40	DR.50	3	50
Fungi_MK_Microcosms_Metsulfuron_methyl_073	F_MM_C_A_T20	Farsala	TR.20	DR.0	1	0
Fungi_MK_Microcosms_Metsulfuron_methyl_074	F_MM_C_B_T20	Farsala	TR.20	DR.0	2	0
Fungi_MK_Microcosms_Metsulfuron_methyl_075	F_MM_C_C_T20	Farsala	TR.20	DR.0	3	0
Fungi_MK_Microcosms_Metsulfuron_methyl_076	F_MM_0.01_A_T20	Farsala	TR.20	DR.0.01	1	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_077	F_MM_0.01_B_T20	Farsala	TR.20	DR.0.01	2	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_078	F_MM_0.01_C_T20	Farsala	TR.20	DR.0.01	3	0.01 
Fungi_MK_Microcosms_Metsulfuron_methyl_079	F_MM_0.1_A_T20	Farsala	TR.20	DR.0.1	1	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_080	F_MM_0.1_B_T20	Farsala	TR.20	DR.0.1	2	0.1 
Fungi_MK_Microcosms_Metsulfuron_methyl_081	F_MM_0.1_C_T20	Farsala	TR.20	DR.0.1	3	0.1 
